title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote
Toy Story 4,Toy Story 4,2019,"Animation, Adventure, Comedy",100,USA,English,Josh Cooley,"John Lasseter, Andrew Stanton",Pixar Animation Studios,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw, Christina Hendricks, Jordan Peele, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack, Bonnie Hunt, Kristen Schaal","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",7.8
Rocketman,Rocketman,2019,"Biography, Drama, Music",121,"UK, USA, Canada",English,Dexter Fletcher,Lee Hall,Paramount Pictures,"Taron Egerton, Jamie Bell, Richard Madden, Bryce Dallas Howard, Gemma Jones, Steven Mackintosh, Tom Bennett, Matthew Illesley, Kit Connor, Charlie Rowe, Peter O'Hanlon, Ross Farrelly, Evan Walsh, Tate Donovan, Sharmina Harrower",A musical fantasy about the fantastical human story of,7.3
Road to Red,Road to Red,2020,"Action, Adventure, Horror",120,"USA, Portugal",English,Tito da Costa,"Larry Leahy, Tito da Costa",Worldwide Artists,"Sean Gray, Chris Blasman, Renee Dorian, Michael Buffo, Amanda Wing, Matt Lasky, Michael Saad, Buddy Daniels Friedman, Holt Boggs, Matthew Prater, Circus-Szalewski, Eric Gerleman, Ithaka Darin Pappas, Ron Baker, Charlie Chappell",A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,4.2
Fantasy Island,Fantasy Island,2020,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,"Jillian Jacobs, Christopher Roach",Columbia Pictures,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Jimmy O. Yang, Portia Doubleday, Ryan Hansen, Michael Rooker, Parisa Fitz-Henley, Mike Vogel, Kim Coates, Robbie Jones, Jeriya Benn, Charlotte McKinney, Josh McConville","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9
The Rental,The Rental,2020,"Horror, Thriller",88,USA,English,Dave Franco,"Dave Franco, Joe Swanberg",Black Bear Pictures,"Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White, Toby Huss, Connie Wellman, Chunk, Anthony Molinari, Amity Bacon, Chase Barker, Conor Barker, Kylie Barker, Bryant Brown, Andrew Buchanan, Briana Hutchens",Two couples rent a vacation home for what should be a celebratory weekend get-away.,5.7
Il giorno sbagliato,Unhinged,2020,"Action, Thriller",90,USA,English,Derrick Borte,Carl Ellsworth,Burek Films,"Russell Crowe, Caren Pistorius, Jimmi Simpson, Gabriel Bateman, Anne Leighton, Austin P. McKenzie, Lucy Faust, Michael Papajohn, Brett Smrz, Juliene Joyner, Stephen Louis Grush, Sylvia Grace Crim, Gregory Hobson, Devyn A. Tyler, Hick Cheramie","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",6.2
The Party Planner,The Party Planner,2020,Thriller,93,USA,English,Jake Helgren,Jake Helgren,The Ninth House,"Lindsey McKeon, Katrina Begin, Cathryn Dylan, Marco Dapper, Jud Tylor, Chasty Ballesteros, Parker Mack, Wyntergrace Williams, Stefanie Black, Matthew Atkinson, Gabriela Quezada Bloomgarden, Piper the Dog, Dominique Franceschi, Savanna Gann, Diane Hsu","When young art gallery owner and mother Kayla Anderson finds herself drowning in work and in need of help planning her daughter Kerry's big upcoming Sweet Sixteen bash, she hires pretty, ...",4.7
Tribal Get Out Alive,Tribal Get Out Alive,2020,"Action, Horror, Thriller",86,UK,English,Matt Routledge,Johnny Walker,Wildstyle Casting and Management,"Zara Phythian, Ross O'Hennessy, Rachel Warren, Thomas Dodd, Valerie Thomas, Grayson James Matthews, Charlene Aldridge, Kenan Ali, Yahya Baggash, Kirsty Bartle, Steve Bates, Kelsey Baxtor, Kerry Beard, Crystal Maria Bhatti, Lewis Blackburn","Elite military personnel Caitlin Ross retires from service after suffering from PTSD. Along with former team member and close friend Brad Johnson, they opted for the 'easy life' and now ...",6.9
Scare Me,Scare Me,2020,Horror,104,USA,English,Josh Ruben,Josh Ruben,Irony Point,"Aya Cash, Rebecca Drysdale, Chris Redd, Josh Ruben, Lauren Sick","During a power outage, two strangers tell scary stories. The more Fred and Fanny commit to their tales, the more the stories come to life in their Catskills cabin. The horrors of reality manifest when Fred confronts his ultimate fear.",3.4
The Quarry,The Quarry,2020,"Crime, Mystery, Thriller",98,USA,English,Scott Teems,"Scott Teems, Andrew Brotzman",EFC Films,"Bruno Bichir, Shea Whigham, Anna Watt, Alvaro Martinez, Catalina Sandino Moreno, Michael Shannon, Abel Becerra, Jimmy Gonzales, Bobby Soto, Rose Bianco, Hector Presedo, Julia Vera, Raul Ruletta, Anthony Reynolds, David Jensen","A drifter (Shea Whigham) kills a traveling preacher and takes his place at a small-town church, but the police chief (Michael Shannon) suspects foul play.",5.2
Dangerous Lies,Dangerous Lies,2020,"Drama, Mystery, Thriller",96,USA,English,Michael M. Scott,David Golden,Off Camera Productions,"Nick Purcha, Joe Costa, Camila Mendes, Briana Skye, Jessie T. Usher, Sean Owen Roberts, Trevor Lerner, Elliott Gould, Cam Gigandet, Michael P. Northey, Sasha Alexander, Emma Pedersen, Jamie Chung, Stefania Indelicato, Garfield Wilson","When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",5.2
Don't Let Them In,Don't Let Them In,2020,Horror,81,UK,English,Mike Dunkin,"Daniel Aldron, Mike Dunkin",The Ideas Factory,"Scott Britton, Louis Dunkin, Amanda Hunt, Michelle Luther, Rob Murphy, Aidan O'Neill, Scott Suter, Amelie Willis, Sophie Willis","A home invasion horror movie in the vein of You're Next and The Purge, about a group of people under siege by masked intruders in an abandoned hotel.",4.7
Ghost,Ghost,2020,Drama,85,UK,English,Anthony Z. James,Anthony Z. James,,"Anthony Mark Streeter, Nathan Hamilton, Russell Barnett, Emmy Happisburgh, Severija Bielskyte, Jamie O'Neill, Calum Speed, Lev Levermore, Tyrone Nestor, John Sims, Robert Anthony, Liam Woon, Donatas Fedaravicius, Ieva Fedaraviciute, Prince Marfo","On the first day of freedom, a grizzled ex-con must reconnect with his troubled son before his violent past catches up with them.",5.5
Light from the Tower,Light from the Tower,2020,"Comedy, Drama, Mystery",77,USA,English,Alex R. Wagner,Julia St. Pierre,GK Studio Productions,"Sarah Rosengarten, Julia St. Pierre, Buckner Hinkle, Christopher Coakley, Amber Bloom, Dov Lebowitz-Nowak, Joe Ventricelli, Amy Soraghan, Will F. Young, Sarah Villegas, Nikki Delmonico, Katharine Ariyan, Alex R. Wagner","A costumer designer is sent to the Catskills for an interactive theatre piece set in the 1920s. When she arrives things seem dark, strange and off. She soon realizes she is part of a student film.",6
A Stormy Night,A Stormy Night,2020,Drama,75,Spain,English,David Moragas,David Moragas,Oberon Media,"Marc DiFrancesco, Jordan Geiger, Elena Martín, David Moragas, Nick Neon, Jacob Perkins","Marcos lands in New York only to find out his layover flight to San Francisco has been canceled. Having nowhere to go, he ends up in his friend's apartment with a complete stranger: Alan.",5.4
The Father,The Father,2020,Drama,97,"UK, France",English,Florian Zeller,"Christopher Hampton, Florian Zeller",Trademark Films,"Anthony Hopkins, Olivia Colman, Olivia Williams, Rufus Sewell, Evie Wray, Mark Gatiss, Imogen Poots, Ayesha Dharker, Ray Burnet","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2
Agent Jade Black,Agent Jade Black,2020,Action,101,USA,English,Terry Spears,Terry Spears,19 Artist Development,"Katie Burgess, Connie Franklin, Sidney Flack, Luke Wyckoff, Caleb Fellenstein, Rane Thomason, Taylor Reich, Tom Allen, Greg Williams, Brett Bower, Lee Patterson, John C. Bailey, Tyler Malinauskas, Mark Adam Goff, Michela Creel",A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,1.7
Work It,Work It,2020,"Comedy, Music",93,USA,English,Laura Terruso,Alison Peck,AK Worldwide,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes, Kalliane Brémault, Alyssa Trask, Kiana Smith, Justine Sanker, Marquisha Sparkes, Teya Wild, Eliana Todaro, Regan Reynolds, Kayleigh Shikanai, Samantha Ryan Campbell, Sabrina Carpenter, Naomi Snieckus","When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school...now she just needs to learn how to dance.",6.1
A Killer Next Door,A Killer Next Door,2020,Thriller,90,UK,English,Andrew Jones,Andrew Jones,North Bank Entertainment,"Nigel Barber, Derek Nelson, Tessa Wood, Jason Gregg, William Meredith, Harriet Rees, Phillip Roy, Patrick O'Donnell, Kate Milner Evans, Jimi James, Jessica Michelle Smith, Ed Allenby, Christofer Nicholas-Williams, David Bridle, Leah Jenkins",A young girl begins to suspect that her neighbor on a quiet suburban street is fugitive family killer John List.,3.1
Survive the Night,Survive the Night,2020,"Action, Drama, Thriller",90,USA,English,Matt Eskandari,Doug Wolfe,Emmett/Furla/Oasis Films (EFO Films),"Bruce Willis, Chad Michael Murray, Shea Buckner, Tyler Jon Olson, Lydia Hull, Riley Wolfe Rach, Jessica Abrams, Ravare Elise Rupert, Jef Holbrook, Charlie Alvarado, Natalie DiDonato, Sara Lynn Herman","A disgraced doctor and his family are held hostage at their home by criminals on the run, when a robbery-gone-awry requires them to seek immediate medical attention.",4.9
Force of Nature,Force of Nature,2020,"Action, Drama",91,USA,English,Michael Polish,Cory M. Miller,Emmett/Furla/Oasis Films (EFO Films),"Emile Hirsch, Mel Gibson, David Zayas, Kate Bosworth, Stephanie Cayo, William Catlett, Jorge Luis Ramos, Joksan Ramos, Blas Sien Diaz, Tyler Jon Olson, Julio Ramos Velez, Sebastian Vázquez, Jesy McKinney, Xavier Reyes, Luillo Ruiz",A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,4.4
Becky,Becky,2020,"Action, Drama, Horror",93,USA,English,"Jonathan Milott, Cary Murnion","Nick Morris, Ruckus Skye",Yale Productions,"Lulu Wilson, Kevin James, Joel McHale, Robert Maillet, Amanda Brugel, Isaiah Rockcliffe, Ryan McDonald, James McDougall, Leslie Adlam, Justin Holiday, Mike Dara, Charles Boyland, Bryan Edwards, Andrew Siwik, Chandra Michaels",A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,5.7
Alone,Alone,2020,Thriller,81,USA,English,Vladislav Khesin,"Samuel Bandeira, Gabriel Legua",Broken Cage Studio,"Elizabeth Arends, Sara Anne, Albina Katsman, Bailey Coppola, Dane Majors, Kyle Dondlinger, Graham Jenkins, Caesar James, Christa Atkins, Circus-Szalewski, Chuck Mccarns","""Alone"" follows a writer seeking peace and solitude in the countryside in an attempt to recover from tragedy and finish her book. However, as the welcoming country house turns into a living...",4.7
The Dinner Party,The Dinner Party,2020,"Horror, Thriller",116,USA,English,Miles Doleac,"Miles Doleac, Michael Donovan Horn",Artist Vodka Films,"Jeremy London, Bill Sage, Ritchie Montgomery, Miles Doleac, Sherri Eakin, Alli Hart, Lindsay Anne Williams, Kamille McCuin, Sawandi Wilson, Mike Mayhall, Judyth Daley, Rachel Ryals, Joseph VanZandt, Hollis Ellzey","A budding playwright and his wife attend a dinner party hosted by wealthy, cultural elites, who have promised to bankroll the writer's latest play to Broadway, but, in fact, have darker designs in mind for the couple.",5.9
The Windermere Children,The Windermere Children,2020,"Drama, War",88,"Germany, UK",English,Michael Samuels,Simon Block,Wall to Wall Television,"Thomas Kretschmann, Romola Garai, Iain Glen, Tim McInnerny, Marcel Sabat, Philipp Christopher, Anna Schumacher, Konstantin Frank, Kacper Swietek, Marek Wroblewski, Kuba Sprenger, Pascal Fischer, Anna Maciejewska, Tomasz Studzinski, Jakub Jankiewicz","This is the stark, moving ultimately redemptive story of the bonds these children make with one another, and of how the friendships forged at Windermere become a lifeline to a fruitful future.",7.3
Long Lost Sister,Long Lost Sister,2020,Thriller,86,USA,English,Lisa France,Sandra Bailey,Cartel Pictures,"Karynn Moore, Jade Harlow, Rosalie McIntire, Robert Adamson, Juliet Rusche, Billy Armstrong, Catherine Carlen, Michael Broderick, Joana Perey, Biz Betzing, Warren Sweeney, Stephan Smith Collins, Susie Castillo, Carolyn Ordoñez, Nathan Peterson","After the death of her estranged sister Nikki, with whom she'd hadn't seen since they were separated in foster care, Carly is surprised to learn that she is named in Nikki's will as ...",5.3
Carrion,Carrion,2020,Horror,72,USA,English,Michael Zaiko Hall,"Oliver Caspersen, Michael Zaiko Hall",Cyfuno Ventures,"Jenya Chaplin, Chloë Caro, Nathan Knight, Marc Victor, Sierra Goddard, Oliver Caspersen, Pasha Newmerzhitzky, Erik Jorn Sundquist, Kay Coburn","A young woman shows up on her cousin's doorstep after a ten year absence. As dark events from the past resurface, someone in the woods follows their every move.",2.8
The Unborn,The Unborn,2020,Horror,70,USA,English,Tal Lazar,Danny Matier,MiLa Media,"Manni L. Perez, Jesse R. Tendler, Brian David Tracy, Chris Bellant, J. Richey Nash, Clifton Samuels, Carys McGrory, Deborah Stile, Dameka Hayes, Asher Edgecliffe-Johnson","Strange, unexplained events unfold at an old factory. Two security guards must come to terms with reality: Tiffany as a future mother, and Joey who is secretly in love with her. But someone...",3.5
Dead Voices,Dead Voices,2020,"Horror, Mystery, Thriller",80,USA,English,William Butler,Jacob Kyle Young,Post Modern Entertainment,"Jacob Kyle Young, Lochlyn Munro, Lauren Albo, Angelica Briones, Jack Buckley, Naama Silver",Two sisters discover a dark secret while making a documentary about mediums for a college final.,2.6
Nine Days,Nine Days,2020,"Drama, Fantasy",124,USA,English,Edson Oda,Edson Oda,30WEST,"Bill Skarsgård, Zazie Beetz, Winston Duke, Tony Hale, Benedict Wong, Geraldine Hughes, David Rysdahl, Arianna Ortiz, Perry Smith, Dave Bresnahan, John Forker, Lisa Starrett, Rachelle Hardy, Logan Smith, Jeffrey Hanson",A reclusive man conducts a series of interviews with human souls for a chance to be born.,7.5
The Au Pair,The Au Pair,2020,Thriller,86,USA,English,Joe Russo,"Chris LaMont, Joe Russo",Indy Entertainment,"Annie Heise, Tristan Thomas, Brytnee Ratledge, Trevor Donovan, Gianna Gallegos, Brady Bauer, Esodie Geiger, Kurt Kubicek, Micah McNeil, Elizabeth Saydah, Luke Valen","Trying to leave behind the memories of her fiancé, Taylor becomes an au pair for an out-of-state couple and their 8-year old daughter - but there's a dark secret behind every perfect family.",4.9
The Trip to Greece,The Trip to Greece,2020,"Comedy, Drama",103,UK,English,Michael Winterbottom,,Revolution Films,"Steve Coogan, Rob Brydon, Claire Keelan, Rebecca Johnson, Marta Barrio, Tim Leach, Cordelia Bugeja, Justin Edwards, Tessa Walker, Richard Clews, Harry Taylor, Kareem Alkabbani, Soraya Mahalia Hatner",Actors Rob Brydon and Steve Coogan travel from Troy to Ithaca following in the footsteps of the Odysseus.,6.6
Revenge Ride,Revenge Ride,2020,"Crime, Drama, Horror",73,USA,English,Melanie Aitkenhead,Timothy Durham,SSS Entertainment,"Serinda Swan, Diego Boneta, Jake Lockett, Pollyanna McIntosh, Vanessa Dubasso, Reem Kadem, John D. Hickman, Hank Brock, Shawn Mattox, Vince Jolivette, Brandy Gravitt, Veronica Marcum, Veronica Baltimore, Jennifer Hendricks, Kelly Little","Maggie (Serinda Swan) is a tough and ruthless member of the all-female Dark Moon biker gang led by the merciless Trigga (Pollyanna McIntosh). After Maggie's cousin (Vanessa Dubasso) is drugged at a party, the gang rides out for revenge.",3.3
L'uomo invisibile,The Invisible Man,2020,"Horror, Mystery, Sci-Fi",124,"Canada, Australia, USA",English,Leigh Whannell,"Leigh Whannell, Leigh Whannell",Universal Pictures,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge, Storm Reid, Michael Dorman, Benedict Hardie, Renee Lim, Brian Meegan, Nick Kici, Vivienne Greer, Nicholas Hope, Cleave Williams, Cardwell Lynch, Sam Smith","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1
A Daughter's Ordeal,A Daughter's Ordeal,2020,Thriller,86,USA,English,Richard Switzer,John Burd,Dawn's Light,"Natalie Brown, Sarah Fisher, Alexa Rose Steele, Reha Sandill, Milton Barnes, Doug Murray, Lisa Berry, Violet Mount","Hope has always been close to her daughter Lacy. But since her divorce from her husband, Hope has been worried about Lacy, who is struggling to cope. So Hope is excited when Lacy brings ...",4.8
Copper Bill,Copper Bill,2020,Thriller,84,USA,English,Brett Bentman,Brett Bentman,B22 Films,"Thom Hallum, Dustin Rhodes, Katy Harris, Arthur RedCloud, Billy Blair, Tom Zembrod, Christopher Vaughan, Andy Arrasmith, Mason McEvers, Raimey Robinson, Daryl Real, Aaron Noack, Dalton Brown",Two thieves attempt to steal 80 million dollars of hidden Texas drug money from the famed ranch belonging to a dead member of the Cowboy Mafia.,4.4
Sognando il ring,The Main Event,2020,"Action, Comedy, Family",101,USA,English,Jay Karas,"Larry Postel, Zach Lewis",WWE Studios,"Seth Carr, Tichina Arnold, Adam Pally, Ken Marino, Aryan Simhadri, Momona Tamada, Glen Gordon, Keith Lee, Babatunde Aiyegbusi, Josh Zaharia, Dallas Young, Bodhi Sabongui, Matt Polinsky, Renee Paquette, Kofi Kingston","After discovering a magical mask, an 11-year-old aspiring wrestler enters a competition to become the next WWE superstar.",4.7
Dreamkatcher,Dreamkatcher,2020,"Horror, Thriller",85,USA,English,Kerry Harris,"Kerry Harris, Dan V. Shea",Taylor Lane Productions,"Radha Mitchell, Henry Thomas, Finlay Wojtak-Hissong, Lin Shaye, Jules Willcox, Joseph Bishara, Duncan Foster-Allen, J. Christian Ingvordsen, Bella Marie Fucile, Cullen Riera, Finnegan Riera",In order to stop his bad dreams a young boy steals a dreamcatcher from a mysterious neighbor forcing his family to rescue him from a nightmarish entity.,3.8
Sweet Sunshine,Sweet Sunshine,2020,Drama,93,,English,Craig McMahon,Craig McMahon,Fit Via Vi Film Productions,"John Way, Mackenzie Coffman, Bill Wetherill, Rob Edwards, Savanah D. McMahon, Julie Van Lith, Greg Lutz, Savannah Wix, Debra Ann Byrd, Gary Herkimer, Ben Vazquez, Damon Bolling","After his rise to fame causes a rift with his father, a young superstar suffers a tragedy that will change his life forever. Can a chance meeting with a talented young woman give him the strength he needs to believe in himself?",7
Don't Speak,Don't Speak,2020,"Horror, Sci-Fi, Thriller",83,UK,English,Scott Jeffrey,Scott Jeffrey,Proportion Productions,"Stephanie Lodge, Ryan Davies, Jake Watkins, Will Stanton, Georgina Jane, Helen Minassian, AJ Blackwell, Hannah Ponting, Nicola Wright","Upon arriving at their grandparents farm, a family soon realise the entire town has been taken out by an unknown monster.. And soon, they become its prey..",4.1
Minari,Minari,2020,Drama,115,USA,English,Lee Isaac Chung,Lee Isaac Chung,Plan B Entertainment,"Steven Yeun, Yeri Han, Yuh-Jung Youn, Alan S. Kim, Noel Cho, Will Patton, Scott Haze, Eric Starkey, Esther Moon, Darryl Cox, Ben Hall, Jacob M Wade, James Carroll, Jenny Phagan, Tina Parker",A Korean family moves to Arkansas to start a farm in the 1980s.,8
Abominable,Abominable,2020,Horror,72,USA,English,Jamaal Burden,,Pikchure Zero,"Robert Berlin, Katrina Mattson, Justin Prince Moy","A research team embarks on a journey to obtain a plant that can advance medical research by centuries. While stumbling upon clues of the previous expedition, they discover that a Yeti ...",3.8
The Source of Shadows,The Source of Shadows,2020,Horror,83,USA,English,"Ryan Bury, Jennifer Bonior","Jennifer Bonior, Trevor Botkin",Four Thieves Productions,"Ashleigh Allard, Tom Bonington, Eliane Gagnon, Marissa Kaye Grinestaff, Jenna Heffernan, Joshua Hummel, Janice Kingsley, Chris Labasbas, Jared Laufree, Dominic Lee, Vic May, Sienna Mazzone, Lizzie Mounter, Grace Mumm, Ashley Otis","A series of stories woven together by one of our most primal fears, the fear of the unknown.",3.5
DNA Killer,DNA Killer,2020,Thriller,85,"Germany, USA",English,Lisa France,Brooke Purdy,Beta Film,"Brian Ames, Diora Baird, Chip Bolcik, Darin Brooks, Walker Bryant, Steven Chan, Devin Crittenden, Gustavo Escobar, Will Holman, Phillip P. Keene, Kylee Levien, Carmen Moreno, Brooke Nevin, Anthony Richard Pagliaro, Levon Rector","On Sarah's birthday, her best friend Victoria gives her a genetic testing kit as a gift so she can learn more about her family's lineage. But that night, Victoria is tragically killed. ...",4.9
Feel the Beat,Feel the Beat,2020,"Comedy, Drama, Family",109,USA,English,Elissa Down,"Michael Armbruster, Shawn Ku",Resonate Entertainment,"Sofia Carson, Pamela MacDonald, Sonia Laplante, Nayo, Katrina Khachi, Katherine Gayle, Emily Roman, Hannah Warby, Denise Goping, Brandon Kyle Goodman, Rex Lee, David Di Brina, Timothy Ng, Karn Kalra, Enrico Colantoni","After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.",6.3
Abigail Haunting,Abigail Haunting,2020,Horror,85,USA,English,Kelly Schwarze,"Charisma Manulat, Kelly Schwarze",Indie Film Factory,"Chelsea Jurkiewicz, Austin Collazo, Brenda Daly, Michael Monteiro, Christopher Brown, Taylor May, Zander Garcia, Eric Rickey, Ellinor Schwarze, Joseph Stevenson","After escaping the clutches of an abusive relationship, Katie reluctantly returns to the foster home she grew up in. Little does she know, her foster mother Marge is harboring a sinister ...",3.8
Cupid,Cupid,2020,Horror,83,USA,English,Scott Jeffrey,Scott Jeffrey,Proportion Productions,"Georgina Jane, Michael Owusu, Abi Casson Thompson, Ali Barouti, Bao Tieu, Sarah T. Cohen, Georgie Banks, Kelly Juvilee, Jake Watkins, Adrian Bouchet, Nicola Wright, Jon Callaway, Jake Francis, Megan Lockhurst, Hannah Ponting","After being horrendously embarrassed by the mean girls at school, Faye, a practicing witch, summons the evil Cupid to take revenge on all those who wronged her.",4.8
Cabal,Cabal,2020,"Action, Horror, Thriller",89,USA,English,Rene Perez,"Barry Massoni, Rene Perez",,"J.D. Angstadt, Michael Arnel, Linda Bott, Joseph Camilleri, Candace Cannon, Keely Dervin, Joseph Donaldson, Justin Donaldson, Alexandra Fabbri, Eva Hamilton, Clementine Hetherington, Brigette Jackson, Tony Jackson, Rodney Lee Johnson, Kimberly Molina",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,2.1
Bill & Ted Face the Music,Bill & Ted Face the Music,2020,"Adventure, Comedy, Music",91,"USA, Canada, Italy",English,Dean Parisot,"Chris Matheson, Ed Solomon",Hammerstone Studios,"Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, William Sadler, Anthony Carrigan, Erinn Hayes, Jayma Mays, Hal Landon Jr., Beck Bennett, Kid Cudi, Amy Stoch, Holland Taylor, Jillian Bell","Once told they'd save the universe during a time-traveling adventure, 2 would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",6.4
The Warrant,The Warrant,2020,Western,84,USA,English,Brent Christy,Shea Sizemore,Sydney Productions,"Neal McDonough, Steven R. McQueen, Casper Van Dien, Annabeth Gish, Gregory Cruz, Greg Perrow, Roxanna Dunlop, Esteban Cueto, Trace Cheramie, Gregory Alan Williams, Daniel Norris, Isaiah Stratton, Christie McNab, Drew Waters, Brian F. Durkin","After fighting in the Civil War, two Union Army buddies find themselves on opposite sides of the law with the post-war peace at risk.",4.1
I Used to Go Here,I Used to Go Here,2020,"Comedy, Drama, Romance",80,USA,English,Kris Rey,Kris Rey,Yale Productions,"Gillian Jacobs, Jemaine Clement, Josh Wiggins, Forrest Goodluck, Hannah Marks, Kate Micucci, Zoe Chao, Jorma Taccone, Jennifer Joan Taylor, Khloe Janel, Brandon Daley, Rammel Chan, Cindy Gold, Kristina Valada-Viars, Tonray Ho","Following the launch of her new novel, 35-year-old writer Kate is invited to speak at her alma matter by her former professor. After accepting the invitation, Kate finds herself deeply enmeshed in the lives of a group of college students.",5.6
L'ultimo colpo di mamma,The Sleepover,2020,"Action, Adventure, Comedy",100,USA,English,Trish Sie,"Sarah Rothschild, Sarah Rothschild",LD Entertainment,"Sadie Stanley, Maxwell Simkins, Cree Cicchino, Lucas Jaye, Malin Akerman, Ken Marino, Joe Manganiello, Harry Aspinwall, Enuka Okuma, Erik Griffin, Karla Souza, Calidore Robinson, Matthew Grimaldi, Marissa Carpio, Harry Phan","When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.",5.5
The Debt Collector 2,The Debt Collector 2,2020,Action,97,USA,English,Jesse V. Johnson,"Jesse V. Johnson, Stu Small",DC2 Productions,"Scott Adkins, Louis Mandylor, Marina Sirtis, Demitra Sealy, Vernon Wells, Catherine Black, Josef Cannon, Ski Carr, Charity Collins, Robert Dobson, Austin Durden, Dasha German, Timothy E. Goodwin, R Scott Hoffman, Jermaine Jacox","A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin. -Samuel Goldwyn Films-",5.7
The Escape from Auschwitz,The Escape from Auschwitz,2020,Drama,80,UK,English,Terry Lee Coker,Bradley Coker,High Fliers Films,"Elliot Cable, Paul Joseph Bonnici, Alex Reece, David Winfield, Meyrem Enver, Marie Belsey, Joe Stock, Tony Fadil, Paul O'Neill","After capturing Kazimierz Piechowski at the Hungarian border, he is sent to Auschwitz where he is forced to move corpses from the gas chambers to the crematorium.",1.4
Our Scripted Life,Our Scripted Life,2020,Comedy,88,USA,English,David Towner,"David Towner, John Zulovitz",Splash Film Productions,"Abby Wathen, Ryan Karloff, Pat Germano, Zaide Avila, James Ball, Mary Beringer, Sara Beringer, Nan Bongiani, Justin Bourne, Rahkel Brewster, Sonny Burnette, Charley, Dante Donaldson, Matt Patrick Fox, Falecia Frederick","A daytime television actor hatches a plan to produce a film starring him and his co-star, hoping it will make her fall in love with him.",7.8
Lies For Rent,Lies For Rent,2020,Thriller,86,USA,English,Monika Lynn Wesley,"Marcy Holland, Kaila York",Headlong Entertainment,"Victoria Barabas, Donovan Patton, Nick Ballard, Joseph C. Phillips, Max E. Williams, Olivia Buckle, Kat Fairaway, Jacob Sandler, Kate Gilligan, Shelli Boone, Laetitia Mahicka","Diane is not ready to date but also does not want to attend a work event alone. Her sister suggests a rent-a-date where she can hire a fake boyfriend. Soon, it becomes evident that she has rented a liar with a disturbing past.",4.2
The Binge,The Binge,2020,Comedy,98,USA,English,Jeremy Garelick,Jordan VanDina,American High,"Vince Vaughn, Skyler Gisondo, Dexter Darden, Eduardo Franco, Grace Van Dien, Natalie Paige Goldberg, Marta Piekarz, Zainne Saleh, Esteban Benito, Brittany Garms, Melissa Lawson, Mackenzie Rohan, Caitlyn Stephenson, Alexander Low, Godfrey","Set in a time where all drugs and alcohol are illegal, the only day anyone can participate in the ""fun"" is on Binge day.",4.9
Seriously Single,Seriously Single,2020,"Comedy, Romance",107,South Africa,English,"Katleho Ramaphakela, Rethabile Ramaphakela",Lwazi Mvusi,Burnt Onion Productions,"Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas, Mpho Osei Tutu, Tiffany Barbuzano",Dineo is the definition of serial monogamist. She dates to fall in love; she falls in love to get married. But she never gets married. She always ends up being dumped. When she meets Lunga ...,4.2
